date,mktrf,smb,hml,rf,umd
20080102,-0.014600,-0.001000,-0.001000,0.00010,0.009100
20080103,-0.001400,-0.010200,-0.003700,0.00010,0.016000
20080104,-0.025600,-0.005000,0.001300,0.00010,0.005700
20080107,0.001600,0.001100,0.001300,0.00010,-0.005200
20080108,-0.018100,-0.004300,-0.008600,0.00010,0.010100
20080109,0.011000,-0.003600,-0.006400,0.00010,0.002500
20080110,0.008900,-0.001600,0.005700,0.00010,-0.013900
20080111,-0.014200,-0.007700,0.002500,0.00010,-0.008700
20080114,0.010200,-0.000400,-0.002000,0.00010,0.002900
20080115,-0.023900,0.004900,-0.001200,0.00010,0.003500
20080116,-0.005100,0.008200,0.012000,0.00010,-0.029800
20080117,-0.028000,0.003800,-0.001100,0.00010,0.002900
20080118,-0.005600,-0.002400,-0.008800,0.00010,0.008300
20080122,-0.009800,0.003200,0.011900,0.00010,-0.028700
20080123,0.020400,0.006800,0.016500,0.00010,-0.042500
20080124,0.010200,-0.009400,-0.005300,0.00010,0.002500
20080125,-0.013900,0.008200,0.002400,0.00010,0.007300
20080128,0.017100,0.000400,0.009900,0.00010,-0.016800
20080129,0.006900,-0.004800,0.009900,0.00010,-0.014000
20080130,-0.005900,-0.003700,-0.001000,0.00010,0.001500
20080131,0.016600,0.008400,0.004600,0.00010,-0.017100
20080201,0.014800,0.006900,0.000500,0.00007,-0.010700
20080204,-0.009900,0.001800,-0.001700,0.00007,0.018000
20080205,-0.030100,0.004400,0.000300,0.00007,0.005500
20080206,-0.008500,-0.003700,0.005100,0.00007,0.001600
20080207,0.008200,0.004000,0.000300,0.00007,-0.005700
20080208,-0.003000,-0.000900,-0.003300,0.00007,0.017100
20080211,0.005800,-0.001800,-0.005900,0.00007,0.009800
20080212,0.006100,-0.001600,-0.000600,0.00007,-0.000100
20080213,0.014600,0.007100,0.000300,0.00007,0.004600
20080214,-0.013500,-0.007700,0.001400,0.00007,0.006400
20080215,-0.000200,-0.008200,0.003300,0.00007,-0.002400
20080219,-0.000600,0.002800,-0.003600,0.00007,0.009500
20080220,0.008300,0.002200,-0.000200,0.00007,-0.008000
20080221,-0.012800,-0.003500,-0.001900,0.00007,0.005600
20080222,0.006100,-0.008500,0.006300,0.00007,-0.005200
20080225,0.014600,0.004500,-0.000600,0.00007,0.000800
20080226,0.007200,0.004100,-0.000900,0.00007,-0.004300
20080227,-0.001100,-0.000400,-0.002400,0.00007,-0.000900
20080228,-0.009300,-0.003900,-0.004800,0.00007,0.024100
20080229,-0.026400,0.001100,-0.001600,0.00007,0.010300
20080303,-0.000400,-0.002300,-0.003500,0.00009,0.009500
20080304,-0.003600,0.000000,-0.000500,0.00009,0.001600
20080305,0.005600,-0.002000,-0.003600,0.00009,0.010800
20080306,-0.022600,-0.004100,-0.002400,0.00009,0.019100
20080307,-0.008800,0.002500,0.005900,0.00009,-0.005300
20080310,-0.017200,-0.005900,0.005000,0.00009,0.007400
20080311,0.035700,0.002000,0.002200,0.00009,-0.010600
20080312,-0.007700,0.002100,-0.008100,0.00009,0.008600
20080313,0.006500,0.013200,-0.002100,0.00009,0.004900
20080314,-0.020700,-0.002000,-0.002600,0.00009,0.012300
20080317,-0.012100,-0.007700,0.005100,0.00009,0.010700
20080318,0.040900,0.000200,-0.002500,0.00009,-0.025300
20080319,-0.023700,-0.000100,0.002000,0.00009,-0.009700
20080320,0.023000,-0.001600,0.007500,0.00009,-0.035400
20080324,0.017100,0.011300,-0.006100,0.00009,-0.013400
20080325,0.003800,0.004400,-0.001700,0.00009,0.006800
20080326,-0.008200,0.006100,-0.004900,0.00009,0.023900
20080327,-0.011300,-0.002000,0.000200,0.00009,0.008600
20080328,-0.008200,-0.004400,0.002600,0.00009,0.017400
20080331,0.005700,0.000400,0.005900,0.00009,-0.008800
20080401,0.033700,-0.007400,0.000500,0.00008,-0.030500
