dateff,mktrf,smb,hml,rf,umd
2007/01/31,0.014000,0.001000,-0.001100,0.00440,0.002100
2007/02/28,-0.019600,0.013200,-0.000900,0.00380,-0.013500
2007/03/30,0.006800,-0.000600,-0.002200,0.00430,0.024700
2007/04/30,0.034900,-0.020600,-0.011500,0.00440,-0.001600
2007/05/31,0.032400,0.000300,-0.000500,0.00410,-0.002600
2007/06/29,-0.019600,0.007700,-0.011300,0.00400,0.003800
2007/07/31,-0.037300,-0.025100,-0.033400,0.00400,0.028000
2007/08/31,0.009200,-0.001300,-0.022400,0.00420,0.001100
2007/09/28,0.032200,-0.022900,-0.018700,0.00320,0.045900
2007/10/31,0.018000,0.002200,-0.025900,0.00320,0.049600
2007/11/30,-0.048300,-0.026300,-0.011800,0.00340,0.009300
2007/12/31,-0.008700,0.002000,-0.005200,0.00270,0.065200
2008/01/31,-0.063600,-0.008900,0.036500,0.00210,-0.078900
2008/02/29,-0.030900,-0.002300,-0.009500,0.00130,0.061400
2008/03/31,-0.009300,0.009400,-0.001500,0.00170,0.041000
2008/04/30,0.046000,-0.016400,-0.009600,0.00180,-0.002000
2008/05/30,0.018600,0.032200,-0.013800,0.00180,0.032100
2008/06/30,-0.084400,0.012700,-0.024300,0.00170,0.125400
2008/07/31,-0.007700,0.024700,0.058100,0.00150,-0.051500
2008/08/29,0.015300,0.036100,0.015600,0.00130,-0.040500
2008/09/30,-0.092400,-0.011300,0.063300,0.00150,0.003500
2008/10/31,-0.172300,-0.023400,-0.029000,0.00080,0.077900
2008/11/28,-0.078600,-0.029900,-0.059400,0.00030,0.071100
2008/12/31,0.017400,0.035900,-0.002400,0.00000,-0.050700
2009/01/30,-0.081200,-0.000100,-0.111000,0.00000,-0.018300
2009/02/27,-0.101000,0.001600,-0.072500,0.00010,0.041800
2009/03/31,0.089500,-0.000800,0.035200,0.00020,-0.113800
2009/04/30,0.101900,0.048300,0.054600,0.00010,-0.343900
2009/05/29,0.052100,-0.023300,-0.002100,0.00000,-0.124400
2009/06/30,0.004300,0.026100,-0.027100,0.00010,0.052900
2009/07/31,0.077200,0.020700,0.052700,0.00010,-0.053600
2009/08/31,0.033300,-0.009000,0.077600,0.00010,-0.088400
2009/09/30,0.040800,0.024500,0.009200,0.00010,-0.049300
2009/10/30,-0.025900,-0.042300,-0.041800,0.00000,0.026500
2009/11/30,0.055600,-0.024900,-0.001700,0.00000,0.002900
2009/12/31,0.027500,0.061100,0.000100,0.00010,0.029100
2010/01/29,-0.033600,0.003800,0.003100,0.00000,-0.053800
2010/02/26,0.034000,0.012100,0.031700,0.00000,0.036000
2010/03/31,0.063100,0.014300,0.021000,0.00010,0.036600
2010/04/30,0.020000,0.049800,0.028100,0.00010,0.032200
2010/05/28,-0.078900,0.000500,-0.023800,0.00010,-0.001300
2010/06/30,-0.055600,-0.019800,-0.045000,0.00010,-0.030000
2010/07/30,0.069300,0.001700,-0.002600,0.00010,0.018800
2010/08/31,-0.047700,-0.030000,-0.019600,0.00010,-0.001900
2010/09/30,0.095400,0.039200,-0.031200,0.00010,0.013500
2010/10/29,0.038800,0.011400,-0.025900,0.00010,0.016400
2010/11/30,0.006000,0.037100,-0.009000,0.00010,0.025300
2010/12/31,0.068200,0.006900,0.038200,0.00010,-0.031900
2011/01/31,0.019900,-0.024600,0.008300,0.00010,-0.003200
2011/02/28,0.034900,0.015200,0.010800,0.00010,0.020300
2011/03/31,0.004500,0.026000,-0.015700,0.00010,0.035100
2011/04/29,0.029000,-0.003500,-0.025300,0.00000,0.000700
2011/05/31,-0.012700,-0.007100,-0.020700,0.00000,-0.005600
2011/06/30,-0.017500,-0.001700,-0.003300,0.00000,0.017800
2011/07/29,-0.023600,-0.013000,-0.012300,0.00000,0.000800
2011/08/31,-0.059900,-0.030600,-0.024400,0.00010,-0.003100
2011/09/30,-0.075900,-0.034900,-0.014600,0.00000,-0.025500
2011/10/31,0.113500,0.034100,-0.001700,0.00000,-0.014200
2011/11/30,-0.002800,-0.001700,-0.003400,0.00000,0.039900
2011/12/30,0.007400,-0.007100,0.017500,0.00000,0.019400
2012/01/31,0.050500,0.021500,-0.011100,0.00000,-0.079700
2012/02/29,0.044200,-0.017500,0.000900,0.00000,-0.003000
2012/03/30,0.031100,-0.006000,0.008700,0.00000,0.015000
2012/04/30,-0.008500,-0.005100,-0.004600,0.00000,0.038300
2012/05/31,-0.061900,0.000200,-0.006200,0.00010,0.066000
2012/06/29,0.038900,0.007700,0.004400,0.00000,-0.011200
2012/07/31,0.007900,-0.025900,-0.002600,0.00000,0.030700
2012/08/31,0.025500,0.004200,0.013200,0.00010,-0.024900
2012/09/28,0.027300,0.005100,0.015400,0.00010,-0.010200
2012/10/31,-0.017600,-0.011400,0.037900,0.00010,0.001000
2012/11/30,0.007800,0.005800,-0.009600,0.00010,0.003800
2012/12/31,0.011800,0.014700,0.035600,0.00010,-0.029700
2013/01/31,0.055700,0.003900,0.009500,0.00000,-0.018800
2013/02/28,0.012900,-0.004500,0.000300,0.00000,0.013100
2013/03/28,0.040300,0.007800,-0.002900,0.00000,0.019400
2013/04/30,0.015500,-0.024200,0.006300,0.00000,0.002500
2013/05/31,0.028000,0.016700,0.026000,0.00000,-0.018000
2013/06/28,-0.012000,0.012200,-0.001800,0.00000,0.005900
2013/07/31,0.056500,0.018600,0.005600,0.00000,0.017400
2013/08/30,-0.027100,0.003000,-0.027800,0.00000,0.000500
2013/09/30,0.037700,0.029300,-0.011900,0.00000,0.029700
2013/10/31,0.041800,-0.014900,0.011400,0.00000,0.001600
2013/11/29,0.031200,0.012400,0.002400,0.00000,0.004000
2013/12/31,0.028100,-0.005000,-0.003100,0.00000,0.000700
2014/01/31,-0.033200,0.008600,-0.020900,0.00000,0.017200
2014/02/28,0.046500,0.003200,-0.004000,0.00000,0.020800
2014/03/31,0.004300,-0.018900,0.050800,0.00000,-0.033000
2014/04/30,-0.001900,-0.042500,0.011400,0.00000,-0.038500
2014/05/30,0.020600,-0.018500,-0.002700,0.00000,0.011500
2014/06/30,0.026100,0.030700,-0.007400,0.00000,0.006800
2014/07/31,-0.020400,-0.042400,0.000100,0.00000,-0.002400
2014/08/29,0.042400,0.003600,-0.005800,0.00000,0.008200
2014/09/30,-0.019700,-0.038300,-0.012300,0.00000,0.005300
2014/10/31,0.025200,0.042300,-0.016800,0.00000,0.000000
2014/11/28,0.025500,-0.020900,-0.029900,0.00000,0.010500
2014/12/31,-0.000600,0.025400,0.020600,0.00000,0.010600
2015/01/30,-0.031100,-0.005600,-0.034700,0.00000,0.038700
2015/02/27,0.061300,0.004800,-0.017900,0.00000,-0.028400
2015/03/31,-0.011200,0.030200,-0.004600,0.00000,0.029800
2015/04/30,0.005900,-0.029700,0.018600,0.00000,-0.073700
2015/05/29,0.013600,0.008700,-0.013700,0.00000,0.060100
2015/06/30,-0.015300,0.028300,-0.007900,0.00000,0.030400
2015/07/31,0.015400,-0.041400,-0.041200,0.00000,0.102800
2015/08/31,-0.060400,0.004800,0.026800,0.00000,-0.020700
2015/09/30,-0.030800,-0.026400,0.005200,0.00000,0.053200
2015/10/30,0.077500,-0.019700,-0.000800,0.00000,-0.039700
2015/11/30,0.005600,0.036400,-0.005200,0.00000,0.022800
2015/12/31,-0.021700,-0.028200,-0.025800,0.00010,0.034400
2016/01/29,-0.057700,-0.033600,0.021000,0.00010,0.013700
2016/02/29,-0.000700,0.007800,-0.004800,0.00020,-0.040900
2016/03/31,0.069600,0.008700,0.011200,0.00020,-0.051400
