caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
20080102,-0.014101,-0.014298,-0.017169,-0.017271,13001736800.00,500,13190325300.00,500,1447.16,-0.014438
20080103,0.000023,0.000023,-0.006110,-0.006110,13002034000.00,500,13001736800.00,500,1447.16,0.000000
20080104,-0.024441,-0.024441,-0.028463,-0.028463,12684267800.00,500,13002034000.00,500,1411.63,-0.024552
20080107,0.003272,0.003262,0.002608,0.002591,12725639600.00,500,12684267800.00,500,1416.18,0.003223
20080108,-0.017673,-0.017998,-0.022504,-0.022623,12496601100.00,500,12725639600.00,500,1390.19,-0.018352
20080109,0.013316,0.013241,0.008873,0.008764,12662064900.00,500,12496601100.00,500,1409.13,0.013624
20080110,0.007985,0.007969,0.013679,0.013642,12762972400.00,500,12662064900.00,500,1420.33,0.007948
20080111,-0.013669,-0.013729,-0.013391,-0.013429,12587748900.00,500,12762972400.00,500,1401.02,-0.013595
20080114,0.010698,0.010698,0.009922,0.009922,12722412900.00,500,12587748900.00,500,1416.25,0.010871
20080115,-0.024854,-0.024865,-0.026423,-0.026455,12406066300.00,500,12722412900.00,500,1380.95,-0.024925
20080116,-0.005303,-0.005411,0.002143,0.002110,12338943100.00,500,12406066300.00,500,1373.20,-0.005612
20080117,-0.028556,-0.028594,-0.030503,-0.030536,11986128500.00,500,12338943100.00,500,1333.25,-0.029093
20080118,-0.006033,-0.006056,-0.003882,-0.003893,11912205200.00,500,11986128500.00,500,1325.19,-0.006045
20080122,-0.010822,-0.010822,-0.001300,-0.001300,11783286000.00,500,11912205200.00,500,1310.50,-0.011085
20080123,0.021236,0.021209,0.032189,0.032156,12033202600.00,500,11783286000.00,500,1338.60,0.021442
20080124,0.009971,0.009946,0.008185,0.008126,12152873700.00,500,12033202600.00,500,1352.07,0.010063
20080125,-0.015847,-0.015859,-0.011414,-0.011418,11957544700.00,500,12152873700.00,500,1330.61,-0.015872
20080128,0.017471,0.017460,0.020801,0.020781,12149248600.00,500,11940765800.00,499,1353.97,0.017556
20080129,0.006035,0.005979,0.010073,0.010002,12231691800.00,500,12158987500.00,500,1362.30,0.006152
20080130,-0.004937,-0.004997,-0.006007,-0.006141,12170571900.00,500,12231691800.00,500,1355.81,-0.004764
20080131,0.015601,0.015431,0.019009,0.018939,12349759000.00,500,12170571900.00,500,1378.55,0.016772
20080201,0.013630,0.013630,0.022230,0.022230,12513879500.00,500,12349759000.00,500,1395.42,0.012238
20080204,-0.010493,-0.010510,-0.011487,-0.011553,12382372800.00,500,12513879500.00,500,1380.82,-0.010463
20080205,-0.031705,-0.031793,-0.032140,-0.032231,11988695200.00,500,12382372800.00,500,1336.64,-0.031995
20080206,-0.007300,-0.007691,-0.007039,-0.007204,11896492800.00,500,11988695200.00,500,1326.45,-0.007624
20080207,0.008207,0.007978,0.009948,0.009855,11991406600.00,500,11896492800.00,500,1336.91,0.007886
20080208,-0.004224,-0.004236,-0.005101,-0.005167,11939997300.00,500,11991406600.00,500,1331.29,-0.004204
20080211,0.006015,0.005962,0.007484,0.007434,12010488800.00,500,11939997300.00,500,1339.13,0.005889
20080212,0.007298,0.007259,0.005237,0.005180,12097703900.00,500,12010488800.00,500,1348.86,0.007266
20080213,0.013863,0.013477,0.013729,0.013358,12260742300.00,500,12097703900.00,500,1367.21,0.013604
20080214,-0.013525,-0.013556,-0.014916,-0.014967,12094209900.00,500,12260742300.00,500,1348.86,-0.013421
20080215,0.000772,0.000712,0.000711,0.000663,12102025200.00,500,12094209900.00,500,1349.99,0.000838
20080219,-0.000976,-0.001070,-0.001482,-0.001507,12088971200.00,500,12102025200.00,500,1348.78,-0.000896
20080220,0.008410,0.008349,0.011477,0.011412,12189601300.00,500,12088971200.00,500,1360.03,0.008341
20080221,-0.012440,-0.012773,-0.015161,-0.015252,12033954500.00,500,12189601300.00,500,1342.53,-0.012867
20080222,0.007870,0.007766,0.009770,0.009746,12125746200.00,500,12033954500.00,500,1353.11,0.007881
20080225,0.013770,0.013747,0.016702,0.016681,12292394400.00,500,12125746200.00,500,1371.80,0.013813
20080226,0.007118,0.007114,0.009293,0.009276,12379792400.00,500,12292394400.00,500,1381.29,0.006918
20080227,-0.000774,-0.001010,-0.002387,-0.002659,12367290100.00,500,12379792400.00,500,1380.02,-0.000919
20080228,-0.008875,-0.008991,-0.014138,-0.014299,12256095500.00,500,12367290100.00,500,1367.68,-0.008942
20080229,-0.026967,-0.027001,-0.030462,-0.030527,11878113100.00,500,12256095500.00,500,1330.63,-0.027090
20080303,0.000476,0.000451,-0.000026,-0.000115,11883468400.00,500,11878113100.00,500,1331.34,0.000534
20080304,-0.003317,-0.003320,-0.001945,-0.001956,11844016100.00,500,11883468400.00,500,1326.75,-0.003448
20080305,0.005590,0.005100,0.005045,0.004779,11904376400.00,500,11844016100.00,500,1333.70,0.005238
20080306,-0.021705,-0.021865,-0.026756,-0.027014,11643968900.00,500,11904376400.00,500,1304.34,-0.022014
20080307,-0.008192,-0.008213,-0.006483,-0.006524,11550057800.00,500,11643968900.00,500,1293.37,-0.008410
20080310,-0.015371,-0.015413,-0.019089,-0.019109,11372035800.00,500,11550057800.00,500,1273.37,-0.015463
20080311,0.037143,0.037109,0.039720,0.039700,11794160500.00,500,11372035800.00,500,1320.65,0.037130
20080312,-0.008508,-0.008830,-0.010258,-0.010629,11690017500.00,500,11794160500.00,500,1308.77,-0.008996
20080313,0.005206,0.005168,0.007178,0.007101,11750430400.00,500,11690017500.00,500,1315.48,0.005127
20080314,-0.020562,-0.020585,-0.022163,-0.022205,11507685600.00,500,11750430400.00,500,1288.14,-0.020783
20080317,-0.009003,-0.009151,-0.018640,-0.018694,11402200900.00,500,11507685600.00,500,1276.60,-0.008959
20080318,0.042219,0.042195,0.045335,0.045239,11883313400.00,500,11402200900.00,500,1330.74,0.042410
20080319,-0.023938,-0.023948,-0.022579,-0.022596,11598724300.00,500,11883313400.00,500,1298.42,-0.024287
20080320,0.024392,0.024392,0.025348,0.025348,11881875200.00,500,11598724300.00,500,1329.51,0.023944
20080324,0.015093,0.015093,0.022894,0.022894,12060302900.00,500,11881875200.00,500,1349.88,0.015321
20080325,0.002309,0.002298,0.003570,0.003542,12087981900.00,500,12060302900.00,500,1352.99,0.002304
20080326,-0.008731,-0.008778,-0.012770,-0.012837,11981874500.00,500,12087981900.00,500,1341.13,-0.008766
20080327,-0.011302,-0.011506,-0.011797,-0.012075,11844008200.00,500,11981874500.00,500,1325.76,-0.011460
20080328,-0.007949,-0.007994,-0.011213,-0.011284,11748574800.00,500,11844008200.00,500,1315.22,-0.007950
20080331,0.005616,0.005602,0.007693,0.007685,11811614000.00,500,11855690100.00,500,1322.70,0.005687
20080401,0.035878,0.035873,0.039897,0.039885,12235747800.00,500,11811614000.00,500,1370.18,0.035896
20080402,-0.001677,-0.001874,0.001801,0.001706,12212820100.00,500,12235747800.00,500,1367.53,-0.001934
20080403,0.001268,0.001260,0.002876,0.002837,12228203800.00,500,12212820100.00,500,1369.31,0.001302
20080404,0.000764,0.000750,0.000074,0.000050,12237377400.00,500,12228203800.00,500,1370.40,0.000796
20080407,0.001513,0.001504,0.000497,0.000482,12255749300.00,500,12237377400.00,500,1372.54,0.001562
20080408,-0.004715,-0.005042,-0.006433,-0.006538,12194049800.00,500,12255749300.00,500,1365.54,-0.005100
20080409,-0.007899,-0.007973,-0.012499,-0.012597,12096822800.00,500,12194049800.00,500,1354.49,-0.008092
20080410,0.004569,0.004522,0.004377,0.004310,12151524400.00,500,12096822800.00,500,1360.55,0.004474
20080411,-0.020155,-0.020221,-0.017673,-0.017705,11905830700.00,500,12151524400.00,500,1332.83,-0.020374
20080414,-0.003200,-0.003213,-0.005205,-0.005233,11867591700.00,500,11905830700.00,500,1328.32,-0.003384
20080415,0.004797,0.004792,0.004103,0.004085,11924488900.00,500,11867591700.00,500,1334.43,0.004600
20080416,0.022642,0.022529,0.024877,0.024853,12193173000.00,500,11924488900.00,500,1364.71,0.022691
20080417,0.000673,0.000647,0.002600,0.002588,12201099100.00,500,12193173000.00,500,1365.56,0.000623
20080418,0.017938,0.017934,0.018114,0.018112,12419963300.00,500,12201099100.00,500,1390.33,0.018139
20080421,-0.001447,-0.001473,-0.003805,-0.003822,12401699300.00,500,12419963300.00,500,1388.17,-0.001554
20080422,-0.008698,-0.008715,-0.014553,-0.014563,12293645200.00,500,12401699300.00,500,1375.94,-0.008810
20080423,0.003079,0.003073,0.002986,0.002965,12331442900.00,500,12293645200.00,500,1379.93,0.002900
20080424,0.006420,0.006415,0.010781,0.010765,12410555900.00,500,12331442900.00,500,1388.82,0.006442
20080425,0.006094,0.006083,0.010298,0.010295,12484658800.00,500,12410555900.00,500,1397.84,0.006495
20080428,-0.001158,-0.001217,0.001183,0.001102,12469459000.00,500,12484658800.00,500,1396.37,-0.001052
20080429,-0.003706,-0.003733,-0.002255,-0.002341,12422905600.00,500,12469459000.00,500,1390.94,-0.003889
20080430,-0.004070,-0.004111,-0.007474,-0.007525,12355609900.00,500,12422905600.00,500,1385.59,-0.003846
20080501,0.017263,0.017081,0.022588,0.022470,12566770000.00,500,12355609900.00,500,1409.34,0.017141
20080502,0.003031,0.003029,0.002434,0.002432,12604858000.00,500,12566770000.00,500,1413.90,0.003236
20080505,-0.004496,-0.004580,-0.006236,-0.006291,12547228500.00,500,12604858000.00,500,1407.49,-0.004534
20080506,0.007543,0.007504,0.009407,0.009334,12641434300.00,500,12547228500.00,500,1418.26,0.007652
20080507,-0.017481,-0.017878,-0.017896,-0.018082,12415328700.00,500,12641434300.00,500,1392.57,-0.018114
20080508,0.003668,0.003624,0.001717,0.001618,12460317700.00,500,12415328700.00,500,1397.68,0.003669
20080509,-0.006376,-0.006577,-0.004505,-0.004527,12378516300.00,500,12460317700.00,500,1388.28,-0.006725
20080512,0.011258,0.011230,0.015102,0.014995,12517522800.00,500,12378516300.00,500,1403.58,0.011021
20080513,-0.000318,-0.000556,0.001198,0.001023,12510558400.00,500,12517522800.00,500,1403.04,-0.000385
20080514,0.004261,0.004054,0.006877,0.006611,12561275100.00,500,12510558400.00,500,1408.66,0.004006
20080515,0.010659,0.010490,0.012152,0.012053,12692903100.00,500,12561275100.00,500,1423.57,0.010585
20080516,0.001171,0.001144,-0.001111,-0.001134,12707404300.00,500,12692903100.00,500,1425.35,0.001250
20080519,0.000893,0.000863,-0.000869,-0.000890,12718369600.00,500,12707404300.00,500,1426.63,0.000898
20080520,-0.009346,-0.009346,-0.009682,-0.009688,12599503100.00,500,12718369600.00,500,1413.40,-0.009274
20080521,-0.016013,-0.016086,-0.017159,-0.017262,12396832100.00,500,12599503100.00,500,1390.71,-0.016053
20080522,0.002939,0.002756,0.003364,0.003285,12431020600.00,500,12396832100.00,500,1394.35,0.002617
20080523,-0.013030,-0.013044,-0.014123,-0.014150,12268900200.00,500,12431020600.00,500,1375.93,-0.013210
20080527,0.006962,0.006956,0.009094,0.009065,12354239500.00,500,12268900200.00,500,1385.35,0.006846
20080528,0.004128,0.003933,0.005165,0.004888,12402834900.00,500,12354239500.00,500,1390.84,0.003963
20080529,0.005490,0.005371,0.007605,0.007410,12469454200.00,500,12402834900.00,500,1398.26,0.005335
20080530,0.001511,0.001498,0.001220,0.001195,12480087000.00,500,12469454200.00,500,1400.38,0.001516
20080602,-0.010524,-0.010551,-0.011094,-0.011135,12357427700.00,500,12489203800.00,500,1385.67,-0.010504
20080603,-0.005598,-0.005635,-0.003724,-0.003757,12287796000.00,500,12357427700.00,500,1377.65,-0.005788
20080604,0.000215,-0.000269,0.001070,0.000847,12284486500.00,500,12287796000.00,500,1377.20,-0.000327
20080605,0.019662,0.019584,0.016276,0.016156,12525066400.00,500,12284486500.00,500,1404.05,0.019496
20080606,-0.030672,-0.030791,-0.033506,-0.033670,12146502800.00,500,12531665400.00,500,1360.68,-0.030889
20080609,0.000949,0.000914,-0.003521,-0.003567,12157605900.00,500,12146502800.00,500,1361.76,0.000794
20080610,-0.002208,-0.002208,-0.002743,-0.002744,12130758000.00,500,12157605900.00,500,1358.44,-0.002438
20080611,-0.016768,-0.016992,-0.022479,-0.022864,11937170400.00,500,12143513100.00,500,1335.49,-0.016894
20080612,0.003610,0.003542,0.006955,0.006816,11979447100.00,500,11937170400.00,500,1339.87,0.003280
20080613,0.014986,0.014960,0.017191,0.017125,12158653700.00,500,11979447100.00,500,1360.03,0.015046
20080616,0.000113,0.000113,0.002551,0.002551,12160023700.00,500,12158653700.00,500,1360.14,0.000081
20080617,-0.006799,-0.006809,-0.010894,-0.010931,12077221300.00,500,12160023700.00,500,1350.93,-0.006771
20080618,-0.009680,-0.009694,-0.012729,-0.012798,11960146400.00,500,12077221300.00,500,1337.81,-0.009712
20080619,0.004083,0.003824,0.008097,0.008075,12005886200.00,500,11960146400.00,500,1342.83,0.003752
